Date,Day,Check-In,Check-Out,Total,Task,Task Extra 1,Task Extra 2,Task Extra 3,Task Extra 4,Client,Work unit notes
05.03.2023,Sun,00:00,01:58,01:58,다큐 나는 신이다: 신이 배신한 사람들 시청 등,,,,,,
05.03.2023,Sun,01:58,02:06,00:08,유튜브 배돈 시청,여가,유튜브,,,,
05.03.2023,Sun,02:06,05:17,03:11,잠,잠,잠,,,,
05.03.2023,Sun,05:17,05:46,00:29,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
05.03.2023,Sun,05:46,05:53,00:07,"이동 준비, 이동 등",생활,이동,,,,
05.03.2023,Sun,05:53,06:05,00:12,"이동 준비, 이동 등",생활,이동,,,,
05.03.2023,Sun,06:05,06:19,00:14,Duolingo 스페인어 (<-영어),공부,스페인어,,,,
05.03.2023,Sun,06:19,06:41,00:22,"이동 준비, 이동 등",생활,이동,,,,
05.03.2023,Sun,06:41,08:19,01:38,"주일 1부 아침 예배, 준비",,,,,,
05.03.2023,Sun,08:19,08:49,00:30,"이동 준비, 이동 등",생활,이동,,,,
05.03.2023,Sun,08:49,08:50,00:01,인터넷 커뮤니티 고파스 서핑,,,,,,
05.03.2023,Sun,08:50,09:29,00:39,시험 법학적성시험 LEET 추리논증 공부,,,,,문기옥,
05.03.2023,Sun,09:29,09:30,00:01,시험 법학적성시험 LEET 추리논증 공부,,,,,문기옥,
05.03.2023,Sun,09:30,09:33,00:03,인터넷 서핑,여가,인터넷 서핑,,,,
05.03.2023,Sun,09:33,09:54,00:21,시험 법학적성시험 LEET 추리논증 공부,,,,,문기옥,
05.03.2023,Sun,09:54,10:15,00:21,잠,잠,잠,,,,
05.03.2023,Sun,10:15,10:35,00:20,시험 법학적성시험 LEET 추리논증 공부,,,,,문기옥,
05.03.2023,Sun,10:35,10:41,00:06,"국내 언론 기사, 지면 인터뷰, 연재물 등 확인",정보,언론,,,,
05.03.2023,Sun,10:41,11:05,00:24,시험 법학적성시험 LEET 추리논증 공부,,,,,문기옥,
05.03.2023,Sun,11:05,11:07,00:02,"이동 준비, 이동 등",생활,이동,,,,
05.03.2023,Sun,11:07,11:15,00:08,화장실,생활,화장실,,,,
05.03.2023,Sun,11:15,11:17,00:02,"이동 준비, 이동 등",생활,이동,,,,
05.03.2023,Sun,11:17,11:18,00:01,"일상품 구매, 탐색, 행정 처리",,,,,문기옥,
05.03.2023,Sun,11:18,11:35,00:17,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
05.03.2023,Sun,11:35,11:38,00:03,"이동 준비, 이동 등",생활,이동,,,,
05.03.2023,Sun,11:38,11:39,00:01,화장실,생활,화장실,,,,
05.03.2023,Sun,11:39,11:40,00:01,"이동 준비, 이동 등",생활,이동,,,,
05.03.2023,Sun,11:40,11:42,00:02,"물 마시기, 준비 등",행정,"물 준비, 마시기",,,,
05.03.2023,Sun,11:42,11:50,00:08,시험 법학적성시험 LEET 추리논증 공부,,,,,문기옥,
05.03.2023,Sun,11:50,11:52,00:02,"이동 준비, 이동 등",생활,이동,,,,
05.03.2023,Sun,11:52,12:08,00:16,라디오/유튜브 시사 정치인싸 시청,정보,정치,,,,
05.03.2023,Sun,12:08,12:09,00:01,"이동 준비, 이동 등",생활,이동,,,,
05.03.2023,Sun,12:09,13:15,01:06,시험 법학적성시험 LEET 추리논증 공부,,,,,문기옥,
05.03.2023,Sun,13:15,13:19,00:04,"이동 준비, 이동 등",생활,이동,,,,
05.03.2023,Sun,13:19,13:20,00:01,"비일상품 구매, 탐색, 행정 처리",,,,,,
05.03.2023,Sun,13:20,13:26,00:06,"이동 준비, 이동 등",생활,이동,,,,
05.03.2023,Sun,13:26,14:06,00:40,시험 법학적성시험 LEET 추리논증 공부,,,,,문기옥,
05.03.2023,Sun,14:06,14:08,00:02,"국내 언론 기사, 지면 인터뷰, 연재물 등 확인",정보,언론,,,,
05.03.2023,Sun,14:08,14:24,00:16,시험 법학적성시험 LEET 추리논증 공부,,,,,문기옥,
05.03.2023,Sun,14:24,14:48,00:24,잠,잠,잠,,,,
05.03.2023,Sun,14:48,15:01,00:13,잠,잠,잠,,,,
05.03.2023,Sun,15:01,16:26,01:25,시험 법학적성시험 LEET 추리논증 공부,,,,,문기옥,
05.03.2023,Sun,16:26,16:49,00:23,"이동 준비, 이동 등",생활,이동,,,,
05.03.2023,Sun,16:49,16:53,00:04,다큐 나는 신이다: 신이 배신한 사람들 시청 등,,,,,,
05.03.2023,Sun,16:53,16:59,00:06,"이동 준비, 이동 등",생활,이동,,,,
05.03.2023,Sun,16:59,18:29,01:30,밀알부 심방 등,,,,,문기옥,
05.03.2023,Sun,18:29,18:38,00:09,"이동 준비, 이동 등",생활,이동,,,,
05.03.2023,Sun,18:38,18:42,00:04,다큐 나는 신이다: 신이 배신한 사람들 시청 등,,,,,,
05.03.2023,Sun,18:42,18:44,00:02,"이동 준비, 이동 등",생활,이동,,,,
05.03.2023,Sun,18:44,18:56,00:12,다큐 나는 신이다: 신이 배신한 사람들 시청 등,,,,,,
05.03.2023,Sun,18:56,19:18,00:22,"이동 준비, 이동 등",생활,이동,,,,
05.03.2023,Sun,19:18,19:34,00:16,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
05.03.2023,Sun,19:34,19:37,00:03,물건 씻기 닦기,생활,"물품 씻기, 닦기",,,,
05.03.2023,Sun,19:37,20:28,00:51,다큐 나는 신이다: 신이 배신한 사람들 시청 등,,,,,,
05.03.2023,Sun,20:28,20:34,00:06,인터넷 커뮤니티 고파스 서핑,,,,,,
05.03.2023,Sun,20:34,20:49,00:15,화장실,생활,화장실,,,,
05.03.2023,Sun,20:49,20:58,00:09,"과일 준비, 먹기, 뒤처리",식사,과일,,,,
05.03.2023,Sun,20:58,20:59,00:01,간식,식사,간식,,,,
05.03.2023,Sun,20:59,22:02,01:03,LEET 추리논증 인터넷 강의 전진명 수강 등,,,,,,
05.03.2023,Sun,22:02,22:09,00:07,간식,식사,간식,,,,
05.03.2023,Sun,22:09,22:51,00:42,LEET 추리논증 인터넷 강의 전진명 수강 등,,,,,,
05.03.2023,Sun,22:51,22:56,00:05,"이불 깔기, 이불 커버 베갯닛 씌우기, 잘 준비, 알람 설정",수면,수면 준비,,,,
05.03.2023,Sun,22:56,23:02,00:06,무한도전 시청,,,,,,
05.03.2023,Sun,23:02,23:12,00:10,무한도전 시청,,,,,,
05.03.2023,Sun,23:12,23:17,00:05,무한도전 시청,,,,,,
05.03.2023,Sun,23:17,23:23,00:06,무한도전 시청,,,,,,
05.03.2023,Sun,23:23,23:30,00:07,무한도전 시청,,,,,,
05.03.2023,Sun,23:30,23:38,00:08,무한도전 시청,,,,,,
05.03.2023,Sun,23:38,00:00,00:22,무한도전 시청,,,,,,
06.03.2023,Mon,00:00,04:45,04:45,잠,잠,잠,,,,
06.03.2023,Mon,04:45,04:50,00:05,인터넷 커뮤니티 고파스 서핑,,,,,,
06.03.2023,Mon,04:50,06:37,01:47,잠,잠,잠,,,,
06.03.2023,Mon,06:37,07:04,00:27,"샤워 준비, 실행, 뒤처리 등",생활,씻기,,,,
06.03.2023,Mon,07:04,07:08,00:04,"이동 준비, 이동 등",생활,이동,,,,
06.03.2023,Mon,07:08,07:20,00:12,"이동 준비, 이동 등",생활,이동,,,,
06.03.2023,Mon,07:20,07:22,00:02,"수강 신청, 계획 등",,,,,,
06.03.2023,Mon,07:22,07:33,00:11,책 철학의 책 (The Philosophy Book),,,,,,
06.03.2023,Mon,07:33,07:35,00:02,"이동 준비, 이동 등",생활,이동,,,,
06.03.2023,Mon,07:35,08:00,00:25,책 철학의 책 (The Philosophy Book),,,,,,
06.03.2023,Mon,08:00,08:03,00:03,"이동 준비, 이동 등",생활,이동,,,,
06.03.2023,Mon,08:03,08:12,00:09,책 철학의 책 (The Philosophy Book),,,,,,
06.03.2023,Mon,08:12,08:16,00:04,"이동 준비, 이동 등",생활,이동,,,,
06.03.2023,Mon,08:16,08:27,00:11,책 철학의 책 (The Philosophy Book),,,,,,
06.03.2023,Mon,08:27,08:37,00:10,"이동 준비, 이동 등",생활,이동,,,,
06.03.2023,Mon,08:37,08:39,00:02,"학사 정보, 공지사항 확인 및 행정 등",,,,,문기옥,
06.03.2023,Mon,08:39,08:50,00:11,"학습 자료, 교재 획득, 수집, 정리, 확인",행정,학습 자료 정리,,,,
06.03.2023,Mon,08:50,09:01,00:11,책 철학의 책 (The Philosophy Book),,,,,,
06.03.2023,Mon,09:01,10:05,01:04,"반도체 공학 I (유현용 교수님) 수강, 수험, 행정 등",,,,,,
06.03.2023,Mon,10:05,10:20,00:15,"이동 준비, 이동 등",생활,이동,,,,
06.03.2023,Mon,10:20,10:43,00:23,"식사 탐색, 준비, 식사, 뒤처리",생활,식사,,,,
06.03.2023,Mon,10:43,10:59,00:16,"이동 준비, 이동 등",생활,이동,,,,
06.03.2023,Mon,10:59,11:00,00:01,책 철학의 책 (The Philosophy Book),,,,,,
06.03.2023,Mon,11:00,11:05,00:05,"수강 신청, 계획 등",,,,,,
06.03.2023,Mon,11:05,11:24,00:19,책 철학의 책 (The Philosophy Book),,,,,,
06.03.2023,Mon,11:24,11:26,00:02,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
06.03.2023,Mon,11:26,11:30,00:04,"이동 준비, 이동 등",생활,이동,,,,
06.03.2023,Mon,11:30,11:34,00:04,"이동 준비, 이동 등",생활,이동,,,,
06.03.2023,Mon,11:34,11:35,00:01,책 철학의 책 (The Philosophy Book),,,,,,
06.03.2023,Mon,11:35,11:37,00:02,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
06.03.2023,Mon,11:37,11:41,00:04,"이동 준비, 이동 등",생활,이동,,,,
06.03.2023,Mon,11:41,11:43,00:02,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
06.03.2023,Mon,11:43,11:47,00:04,"이동 준비, 이동 등",생활,이동,,,,
06.03.2023,Mon,11:47,11:48,00:01,전화 준비 및 실행,행정,전화,,,,
06.03.2023,Mon,11:48,11:49,00:01,도서 책 정보 수집 및 구입 대출 등,정보,"책 정보 수집, 구입, 대출 등",,,,
06.03.2023,Mon,11:49,11:52,00:03,화장실,생활,화장실,,,,
06.03.2023,Mon,11:52,11:57,00:05,"전자장 (전상근 교수님) 수강, 수험, 행정 등",,,,,,
06.03.2023,Mon,11:57,12:02,00:05,책 철학의 책 (The Philosophy Book),,,,,,
06.03.2023,Mon,12:02,12:59,00:57,"전자장 (전상근 교수님) 수강, 수험, 행정 등",,,,,,
06.03.2023,Mon,12:59,13:08,00:09,"이동 준비, 이동 등",생활,이동,,,,
06.03.2023,Mon,13:08,13:12,00:04,대화,,,,,,
06.03.2023,Mon,13:12,13:51,00:39,대화,,,,,,
06.03.2023,Mon,13:51,13:52,00:01,"이동 준비, 이동 등",생활,이동,,,,
06.03.2023,Mon,13:52,13:58,00:06,"학자금 대출, 국가장학금 관련 조회, 계산, 탐색",,,,,,
06.03.2023,Mon,13:58,14:01,00:03,"학사 정보, 공지사항 확인 및 행정 등",,,,,문기옥,
06.03.2023,Mon,14:01,15:03,01:02,"전력공학I (이병준 교수님) 수강, 수험, 행정 등",,,,,,
06.03.2023,Mon,15:03,15:06,00:03,"이동 준비, 이동 등",생활,이동,,,,
06.03.2023,Mon,15:06,15:09,00:03,화장실,생활,화장실,,,,
06.03.2023,Mon,15:09,15:14,00:05,"카카오톡, 밴드 등 메시지 작성, 검토, 전송, 확인, 사후 재검토 등",행정,카카오톡 전송,,,,
06.03.2023,Mon,15:14,15:18,00:04,책 철학의 책 (The Philosophy Book),,,,,,
06.03.2023,Mon,15:18,15:19,00:01,"RF공학 (전상근 교수님) 수강, 수험, 행정 등",,,,,,
06.03.2023,Mon,15:19,15:32,00:13,책 철학의 책 (The Philosophy Book),,,,,,
